"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-04","43","51","37"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-05","47","56","36"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-06","55","59","40"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-07","37","44","32"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-08","35","43","31"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-09","37","45","29"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-10","33","48","20"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-11","27","36","19"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-12","32","43","24"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-13","35","41","30"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-14","34","39","29"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-15","33","37","29"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-16","39","46","30"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-17","34","42","26"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-18","35","47","23"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-19","47","55","31"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-20","29","35","17"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-21","38","50","15"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-22","46","51","36"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-23","31","38","25"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-24","37","46","25"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-25","48","52","43"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-26","36","46","26"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-27","29","40","17"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-28","27","43","13"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-29","44","55","28"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-30","34","43","24"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-01","41","45","32"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-02","32","38","28"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-03","32","40","28"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-04","32","39","27"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-05","39","48","31"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-06","43","52","31"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-07","34","43","28"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-08","32","38","26"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-09","32","36","29"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-10","28","33","24"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-11","27","35","20"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-12","29","48","17"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-13","27","47","13"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-14","17","25","11"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-15","18","25","10"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-16","20","28","15"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-17","15","25","7"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-18","18","30","6"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-19","31","39","22"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-20","30","39","19"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-21","16","25","8"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-22","12","17","5"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-23","33","48","18"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-24","28","34","21"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-25","17","21","12"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-26","18","26","10"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-27","7","14","-2"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-28","-2","4","-6"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-29","-1","6","-10"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-30","0","10","-10"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-12-31","0","9","-8"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-01","-2","7","-10"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-02","2","11","-8"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-03","21","32","6"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-04","29","32","25"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-05","11","25","-3"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-06","-4","-1","-7"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-07","3","14","-9"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-08","22","32","12"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-09","28","39","17"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-10","26","38","14"
